"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 10:26:17 GMT 2024","Tue Jul 16 10:26:37 GMT 2024","19707","firefox","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 10:26:09 GMT 2024","Tue Jul 16 10:26:13 GMT 2024","3680","firefox","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
"broken","Tue Jul 16 10:25:30 GMT 2024","Tue Jul 16 10:26:00 GMT 2024","30043","chromium","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 10:24:21 GMT 2024","Tue Jul 16 10:24:23 GMT 2024","2157","chromium","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
"passed","Tue Jul 16 10:26:47 GMT 2024","Tue Jul 16 10:26:51 GMT 2024","3859","webkit","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
"passed","Tue Jul 16 10:26:37 GMT 2024","Tue Jul 16 10:26:41 GMT 2024","4142","firefox","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 10:26:41 GMT 2024","Tue Jul 16 10:26:45 GMT 2024","3316","firefox","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 10:26:51 GMT 2024","Tue Jul 16 10:26:57 GMT 2024","5228","webkit","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 10:26:57 GMT 2024","Tue Jul 16 10:27:16 GMT 2024","19802","webkit","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 10:24:23 GMT 2024","Tue Jul 16 10:24:26 GMT 2024","3038","chromium","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 10:26:13 GMT 2024","Tue Jul 16 10:26:17 GMT 2024","4340","firefox","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 10:26:04 GMT 2024","Tue Jul 16 10:26:07 GMT 2024","3498","chromium","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 10:27:20 GMT 2024","Tue Jul 16 10:27:24 GMT 2024","3900","webkit","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 10:27:16 GMT 2024","Tue Jul 16 10:27:20 GMT 2024","3838","webkit","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 10:26:01 GMT 2024","Tue Jul 16 10:26:04 GMT 2024","2900","chromium","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
