"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jul 16 10:52:17 GMT 2024","Tue Jul 16 10:52:23 GMT 2024","5524","webkit","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 10:49:43 GMT 2024","Tue Jul 16 10:49:46 GMT 2024","3569","chromium","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 10:49:27 GMT 2024","Tue Jul 16 10:49:43 GMT 2024","15169","chromium","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 10:50:16 GMT 2024","Tue Jul 16 10:50:21 GMT 2024","4413","firefox","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 10:50:21 GMT 2024","Tue Jul 16 10:50:23 GMT 2024","2739","firefox","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 10:50:31 GMT 2024","Tue Jul 16 10:50:36 GMT 2024","4612","webkit","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 10:49:22 GMT 2024","Tue Jul 16 10:49:24 GMT 2024","1815","chromium","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
"broken","Tue Jul 16 10:51:34 GMT 2024","Tue Jul 16 10:52:04 GMT 2024","30009","webkit","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 10:49:46 GMT 2024","Tue Jul 16 10:49:50 GMT 2024","3563","chromium","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 10:49:24 GMT 2024","Tue Jul 16 10:49:27 GMT 2024","2876","chromium","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 10:49:55 GMT 2024","Tue Jul 16 10:49:59 GMT 2024","3922","firefox","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 10:52:29 GMT 2024","Tue Jul 16 10:52:55 GMT 2024","25674","webkit","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 10:49:59 GMT 2024","Tue Jul 16 10:50:16 GMT 2024","16905","firefox","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 10:50:25 GMT 2024","Tue Jul 16 10:50:30 GMT 2024","4874","webkit","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
"passed","Tue Jul 16 10:49:51 GMT 2024","Tue Jul 16 10:49:55 GMT 2024","3606","firefox","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
